Product_Name,Rating,Review_Comments
Samsung t809 Phone (T-Mobile): Cell Phones & Service,2.0,"I purchased a brand new Samsung t809, and right out of the box the battery cover would not stay on the phone.  I went to a genuine T-Mobile retailer and after working on the phone for a good half-an-hour, they were still unable to get the battery cover to fit.  The sales rep had a t809 himself and was easily able to get his personal battery cover to fit.  Clearly, a manufactuering defect by Samsung.  I contacted Samsung for a replacement... after six weeks of hassling them over the issue, the end result was that ""the t809 battery cover is not included in the warranty.""  What?!  End result, I get to duct tape my battery in place.  Thanks.  If you're going to spend serious money on a high end phone... go with a brand name that actually stands behind their product.  Clearly not Samsung"
Samsung t809 Phone (T-Mobile): Cell Phones & Service,2.0,"I got this phone basically for free, but even taking that into account, I'm pretty disappointed with the phone. This is my first Samsung and, I'm pretty sure, my last one! I owned a Nokia before and I regret that I ""betrayed"" it. From now I wouldn't get anything besides Nokia and in the worst case maybe Sony-Ericsson.So here is a short list of those ""little things"" that make your life, with this phone (and it's combination with T-Mobile), annoying:- the keys are not comfortable to use.- it's not really comfortable to open/close the slider and to make it easier you have to put your thumb on the screen which leaves is greasy all the time.- putting a comma, while writing a text message, capitalizes the next word - what is the logic in that?! (it annoys me because i do use text messages a lot)- you can't set the camera shutter to be silent...- you can only save 1 phone type for each category - what if the person has 2 business phones...- you cannot choose the e-mail address of a person from the contact list when you want to send a picture message to an e-mail address.And there is a lot more of those little illogical things that were just not thought through, like it would've been in a Nokia (even in a model 5 years old!)Oh yeah, and T-Mobile really ""contributed"" to the ""greatness"" of this phone, removing some of the features and limiting others, like setting your mp3 as a ringtone (although, there is an easy hack around it: just change the extension from .mp3 to .3gp"
Samsung t809 Phone (T-Mobile): Cell Phones & Service,1.0,"I can't believe that with technology as advanced as it is, Samsung could produce this giant POS. It's flashy, yes. But does it deliver?? No. I actually refused to pay the bill and let them shut my service off. I loved the clarity of the pictures, even though the 1 megapixel camera was pretty lousy, and I even liked the video feature. But the phone is only good IF YOU CAN USE IT!!! It's been years since I've had such lousy reception from a phone. I'm considering taking the dealer to court over this, since they pushed it on me and told me what a great phone it was. I want my money back!!"
Samsung t809 Phone (T-Mobile): Cell Phones & Service,1.0,"Has to be the worst phone I have ever had to pay for.  Between the missing features (no voice dial on a $200 phone?!) crippled features (I have to buy ringtones, use their t-zone for the WAP when I have the unlimited internet service already?) and poor reception and terrible battery life it has almost made me want to pay the early cancellation fee and find another carrier.  Anyone who would charge some much for this POS really doesn't deserve my business"
Plantronics M60 Over The Ear Headset w/ 2.5mm Plug: Cell Phones & Service,2.0,"Going by the Plantronics name I bought a pair of M60 headsets to use on a cell and a miniphone. They are incredibly cheaply made, and when my wife gave them a try she got a NASTY feedback squeal several times during a long call. Essentially unusable, unless we find some trick that we have missed so far. We ordered a Sennheiser PC120 to try instead"
"Premium Vehicle Power Charger for Motorola RAZR V3, KRZR, SLVR, PEBL, and Q Phone: Cell Phones & Service",1.0,"I bought 2 charges to try and save a buck, but they are complete junk.  They worked, but never well, for about a month and then the metal charger tip totally pulled apart from the unit"
"Premium Vehicle Power Charger for Motorola RAZR V3, KRZR, SLVR, PEBL, and Q Phone: Cell Phones & Service",2.0,"I agree with most of the others, it worked okay for a couple of months... now, not only does it not charge my phone, but if I plug it into my phone, it immediately loses all charge!  It's also always falling out of the lighter plug.  I don't have that problem with any of my other chargers and I carry three chargers with me for my different gadgets"
"Premium Vehicle Power Charger for Motorola RAZR V3, KRZR, SLVR, PEBL, and Q Phone: Cell Phones & Service",1.0,"Although this charger is suggested when purchasing the Verizon Razr, the phone complains that this an ""Unauthorized Charger"" and it will not charge the phone. Do not waste your time with this"
"Premium Vehicle Power Charger for Motorola RAZR V3, KRZR, SLVR, PEBL, and Q Phone: Cell Phones & Service",1.0,"Does not work with Verizon V3C. When I plug the phone in, it says ""Unauthorized Charger"" and refuses to charge at all. It is a useless piece of junk for me considering it is supposed to be a ""charger."" I give it one star only because Amazon does not have the option for no stars. If I could, I would give it ZERO stars. I suppose that would be bad for business, but it is what it is. Avoid this cheaply made product and get the real thing. Maybe it works in China, but not in North America"
"Premium Vehicle Power Charger for Motorola RAZR V3, KRZR, SLVR, PEBL, and Q Phone: Cell Phones & Service",1.0,"A useless piece of junk.  Worked for 3 minutes then broke.  Have since bought a Motorola-brand one for three times what I paid for this piece of junk.  Do not be attracted by a cheap price tag, because you get what you pay for (or what you DONT pay for in this case). "
"Premium Vehicle Power Charger for Motorola RAZR V3, KRZR, SLVR, PEBL, and Q Phone: Cell Phones & Service",1.0,This razr car charger only worked for about 1 week then quit working.. I would not recommend this vendors products.
"Premium Vehicle Power Charger for Motorola RAZR V3, KRZR, SLVR, PEBL, and Q Phone: Cell Phones & Service",1.0,The Premium Vehicle Power Charger was not compatible.  I returned i
"Premium Vehicle Power Charger for Motorola RAZR V3, KRZR, SLVR, PEBL, and Q Phone: Cell Phones & Service",1.0,Motorola one is far better in quality as well to use
"Premium Vehicle Power Charger for Motorola RAZR V3, KRZR, SLVR, PEBL, and Q Phone: Cell Phones & Service",1.0,"The product description should state that it does not work with the Verizon V3C!  When plugged in, it states ""Unauthorized Charger"" and will not charge at all (although, if the battery is dead, it will give you enough juice to speak, but it still won't charge(?)).  "
Jabra EarGels - Clear: Cell Phones & Service,1.0,"These are not the same that come on the earbud, and are not easy to use, or to hear from.  I sent mine back"
Jabra EarGels - Clear: Cell Phones & Service,1.0,"I bought these for use on my ipod earbuds.  I had an old pair (they were green) that worked great, but I lost one.  Within minutes of putting them on the earbuds, they split open - all three pairs!  If you're planning on using these for your ipod headphones, look into the older colored ones - I believe they're a different material and less prone to cracking"
Jabra EarGels - Clear: Cell Phones & Service,2.0,The service was good but the product didn't have enough info for me to make a wise decision. At the end I couldn't use the product on my jabra ear piece. The item description should have information on compatible Ear sets to help make a better purchasing choice
Jabra EarGels - Clear: Cell Phones & Service,1.0,"Save your money.  The eargels split in two days.  I used regular ear buds on the large size.  They did hold the buds in the ear better, but no gain in sound quality.  If you want the small and med, I'll send them to you for shipping.  I have no use for them"
Jabra EarGels - Clear: Cell Phones & Service,1.0,"I have ear gels before, but none that were this cheap (and I don't mean cost!).  There was no consistency in the size (they come in different sizes, but no two were the same).  And without fail, every single one I tried to use split in half after being installed on the ear piece.  Every one!  It didn't seem to matter if they were small or larger -- or even larger than the ear piece.  The material just began tearing from both sides and ended up falling off in ever instance.I am sure there must be a better quality version of these things somewhere.  I seriously do not recommend these to anyone"
Motorola RAZR V3 Magenta Pink Phone (T-Mobile): Cell Phones & Service,1.0,"As others have mentioned, the front window blanks out almost immediately, and even worse, it doesn't show your missed calls.  You have to open the phone.  Stupid design.  It does not have any exterior lights, such as my old Samsung, that showed when it was charging, when charge completed, when a voice mail was waiting, etc.  This phone needs to be opened to get any info.  Can't even see the time without opening phone.While talking on phone it blacks out after about 1 minute.  I don't like that either.  It's also very hard to hear on it.  Especially if in car, with traffic noise.  No, I'm not driving, but I'm a passenger trying to use my phone.  Forget it.Re the color that someone mentioned.  Cingular is a light pastel pink, TMobile is magenta (dark pink).  The one thing I like is that this phone is a quad band, and if you travel interationally, it will be great.  I just got the phone, so haven't used it interational yet.  Oh, it must TMobile to get international service.  The phone has a camera, plus other tech features, but I don't use them.  I want my phone only to be a phone, no other gadgets.I would never buy this phone again, and as soon as I'm eligible for an upgrade this phone is history.  I doubt I would get a  Motorola ever again, I'll stick to Samsung."
Motorola RAZR V3 Magenta Pink Phone (T-Mobile): Cell Phones & Service,1.0,"I actually went through three of these phones.  Each one that I had would just turn off in the middle of a call...not just drop the call I mean the phone shuts off! Then I would try and start it again, no go! So I had to take the battery out of the phone put it all back together and then restart it. Half of the time it would start and say invalid battery and I would start the entire process over again. I complained so much to Tmobile that they exchanged it for a Motorola V360 which has all the same features, except BETTER reception and an MP3 player.  I wouldnt reccommend this phone to anyone....  p.s. My husband has the silver one and the same thing happend to his"
Motorola RAZR V3 Magenta Pink Phone (T-Mobile): Cell Phones & Service,2.0,"I was so excited to get my first ""cool"" phone. . .I've always had perfectly serviceable, but boring, cell phones and when I saw the pink Razr, I knew I wanted one.  I saved my pennies and gave myself an end-of-school-year present.I have only had this phone for a month, but I am horribly disappointed.  It has horrible reception (and I know it's not the network because I tested it side by side with other t-mobile phones) and drops more than half of my calls.  It also turns itself off ALL THE TIME - in the middle of conversation, while in your pocket, whenever.  I went back to t-mobile and they are sending me a new Samsung, but I'm sort of disappointed that my pretty pink phone didn't live up to expectations.  :"
Motorola RAZR V3 Magenta Pink Phone (T-Mobile): Cell Phones & Service,1.0,"T-mobile has the worst customer services. Sometimes, It is the company's mistake and they still blame it on the customer. Since I started my plan, I had a problem reciving my bill on time. So, the company start charging me $5 late fee for four consecutive months. Also, when I tried adding additional features such as their text-message-bundle, the change on the account did not take effect till two days later, and I was charged for 10 cents for each message I used in these two days,and It costed me an additional $4. Every time I tried complaining to their customer services, they just wouldn't listen. I am starting to get the feeling that they are just trying to maximize their profit. More than once, if I stay long-enough on the line, they put me on mute so they don't have to listen to my complaining. I feeling that I am being treated like dirt not like a customer. I had the worst customer-services experience with t-mobile. Also, the reception is not the best in the country. I had friends who were using the same phone as the one I have but different network, and they were getting services in places where I don't have it, and they pay about the same amount of money"
Jabra EarWave Boom with Universal 2.5mm connector: Cell Phones & Service,1.0,"I purchased this item for use while driving my car in Oct of 2005 for $29.00 without tax.  I was told it would work for the LG phones which is what I haveI see now you can no longer find these for sale and gee I wonder why...I probable used this item a total of 8 times when I drove my manual transmission car, I didnt really use it while driving my truck which was automatic.  The Jabra now does not work...and after only 8 uses, a friend of mine also bought one and his lasted about 6 months as well.  While using it the phone cuts out and the caller can not hear you at the other end and you have to constantly pull the plug and stick it back in, after a while you just give up cause it doesnt work.I emailed the company several times at info@jabra.com but have not tried to call them yet and had no results with the emails.  I have a feeling I lose anyways with this purchase.The thing is not worth the money and does not seem to last long and is not made for LG cell phones, Iknow the one I got with the phone stinks due to the fit but al least it was free and still works top notch.To bad this was a comfortable ear piece but very short lived. do not purchase this even for the 4.99 prices you may find it for on Ebay"
Jabra EarWave Boom with Universal 2.5mm connector: Cell Phones & Service,1.0,Junk. Junk. Junk.  Mine lasted for only three weeks then one day stopped working
Jabra EarWave Boom with Universal 2.5mm connector: Cell Phones & Service,2.0,I went through 2 of these in as many months - the sound quality was very spotty and the mic would intermittently quit working. People regularly had a hard time understanding me when the mic was working and the voice recognition on my cell phone couldn't even distinguish between 'yes' and 'no.'
Jabra EarWave Boom with Universal 2.5mm connector: Cell Phones & Service,2.0,Design is great and very comfortable but sound quality is poor - people on the other side of the conversation constantly claim that sound/ mic is not clear or muffled. Find an alternate hands free- piece
Jabra EarBoom for phones with Universal 2.5mm Jack: Cell Phones & Service,2.0,"I owned two of these EarBooms. The fit was comfortable and the sound very good. However, after a month or two of use, both sets cracked the plastic where the boom enters the ear piece. I imagine this came from adjusting the boom position, which put strain on the plastic. The plastic used for this is not strong enough to take the stress"
Jabra EarBoom for phones with Universal 2.5mm Jack: Cell Phones & Service,2.0,"I have no problems with how the unit feels and fits into my ear -- it's unobtrusive and light. However, I constantly get complaints from whoever I'm talking to on the phone that my voice is too quiet. I have to speak up louder than normal and cup my hand around the back of the microphone in order to produce an acceptable volume, which kind of defeats the purpose of the headset. The problem seems to be that the boom is too short leaving the microphone too far from and to the side of the mouth"
Jabra EarBoom for phones with Universal 2.5mm Jack: Cell Phones & Service,2.0,"The gel inserts on the Jabra is quite uncomfortable, at least for me.  It's a bit hard to make the earbud stay in my ear, and forget about jogging wearing this.  Also the insert comes off very easily, and if a friend wants to borrow it and has different size of ears, you need to find the other sizes of the insert.  Sound quality is mediocre, as callees often complain about wind noise from my end.  I'm not happy with these"
Jabra EarBoom for phones with Universal 2.5mm Jack: Cell Phones & Service,1.0,"Apparently you need to ""know"" your technical specs -- Universal does not mean Nokia, so after getting the product and on the packaging reading clearly there that it doesn't work with Nokia, I get the expense of sending it back. This should be on the technical specs which are crap on this site"
Samsung t809 Phone (T-Mobile): Cell Phones & Service,1.0,"I owned Samsung T809 months ago and I was very frustrated because the bluetooth doesn't work well, sometimes it has connection (bluetooth) but most of the time it doesn't work. Yeah! it's a good looking cellphone but not a friendly user one."
Samsung t809 Phone (T-Mobile): Cell Phones & Service,2.0,"I purchased a brand new Samsung t809, and right out of the box the battery cover would not stay on the phone.  I went to a genuine T-Mobile retailer and after working on the phone for a good half-an-hour, they were still unable to get the battery cover to fit.  The sales rep had a t809 himself and was easily able to get his personal battery cover to fit.  Clearly, a manufactuering defect by Samsung.  I contacted Samsung for a replacement... after six weeks of hassling them over the issue, the end result was that ""the t809 battery cover is not included in the warranty.""  What?!  End result, I get to duct tape my battery in place.  Thanks.  If you're going to spend serious money on a high end phone... go with a brand name that actually stands behind their product.  Clearly not Samsung"
Samsung t809 Phone (T-Mobile): Cell Phones & Service,2.0,"I got this phone basically for free, but even taking that into account, I'm pretty disappointed with the phone. This is my first Samsung and, I'm pretty sure, my last one! I owned a Nokia before and I regret that I ""betrayed"" it. From now I wouldn't get anything besides Nokia and in the worst case maybe Sony-Ericsson.So here is a short list of those ""little things"" that make your life, with this phone (and it's combination with T-Mobile), annoying:- the keys are not comfortable to use.- it's not really comfortable to open/close the slider and to make it easier you have to put your thumb on the screen which leaves is greasy all the time.- putting a comma, while writing a text message, capitalizes the next word - what is the logic in that?! (it annoys me because i do use text messages a lot)- you can't set the camera shutter to be silent...- you can only save 1 phone type for each category - what if the person has 2 business phones...- you cannot choose the e-mail address of a person from the contact list when you want to send a picture message to an e-mail address.And there is a lot more of those little illogical things that were just not thought through, like it would've been in a Nokia (even in a model 5 years old!)Oh yeah, and T-Mobile really ""contributed"" to the ""greatness"" of this phone, removing some of the features and limiting others, like setting your mp3 as a ringtone (although, there is an easy hack around it: just change the extension from .mp3 to .3gp"
Samsung t809 Phone (T-Mobile): Cell Phones & Service,1.0,"I can't believe that with technology as advanced as it is, Samsung could produce this giant POS. It's flashy, yes. But does it deliver?? No. I actually refused to pay the bill and let them shut my service off. I loved the clarity of the pictures, even though the 1 megapixel camera was pretty lousy, and I even liked the video feature. But the phone is only good IF YOU CAN USE IT!!! It's been years since I've had such lousy reception from a phone. I'm considering taking the dealer to court over this, since they pushed it on me and told me what a great phone it was. I want my money back!!"
Samsung t809 Phone (T-Mobile): Cell Phones & Service,1.0,"Has to be the worst phone I have ever had to pay for.  Between the missing features (no voice dial on a $200 phone?!) crippled features (I have to buy ringtones, use their t-zone for the WAP when I have the unlimited internet service already?) and poor reception and terrible battery life it has almost made me want to pay the early cancellation fee and find another carrier.  Anyone who would charge some much for this POS really doesn't deserve my business"
Jabra C150 Headset for 2.5mm Universal Headset Jack: Cell Phones & Service,1.0,The darn thing broke almost immediately.When I tried to switch gel covers (it comes with 3 different sizes) the entire earpiece came off in my hands!What a flimsy piece of crap.I just sent it back to Amazon. I'm never buying a Jabra product again
Jabra C150 Headset for 2.5mm Universal Headset Jack: Cell Phones & Service,1.0,"I bought this for $30 from Best Buy. What a waste of money!The ear gels are comfortable at first, but after an hour or so, your ear starts to really hurt from it.The sound quality is TERRIBLE! People I am talking to sound very muddled and overly loud, even on the lowest volume setting on my Motorola v300.What is worse, people I am talking to hear me very poorly. They say there is so much background noise it sounds like I am in a noisy bar, even when I'm just sitting in my car. People can barely hear me over the background noise racket"
Jabra C150 Headset for 2.5mm Universal Headset Jack: Cell Phones & Service,2.0,"Beware!  The ""Product Features"" for this product specifieda ""Call answer and end button on the headset."" The device I received did not have that feature.  I selected this model because of the advertised feature.  Amazon.com's description was erroneous and misleading.  I returned the item and was charged for the return shipping.  I emailed them notifying them that it was their fault for falsely advertising a feature that was not part of the product. They ignored my email.In the online return process, there's no option that states the return was a result of Amazon.com's fault.  Basically, they falsely advertise so that you buy the product, and when you discover it's not the right one you're screwed.  I now understand all those complaints I've read about Amazon.com.  I'll take the loss this time, but I won't repeat my mistake and order from them again.  Buyer beware!This review is not so much about the product as it is about Amazon.com's false description of the product. I couldn't use the product so sorry I couldn't give a review about it"
Plantronics M60 Over The Ear Headset w/ 2.5mm Plug: Cell Phones & Service,2.0,"Going by the Plantronics name I bought a pair of M60 headsets to use on a cell and a miniphone. They are incredibly cheaply made, and when my wife gave them a try she got a NASTY feedback squeal several times during a long call. Essentially unusable, unless we find some trick that we have missed so far. We ordered a Sennheiser PC120 to try instead"
"Premium Vehicle Power Charger for Motorola RAZR V3, KRZR, SLVR, PEBL, and Q Phone: Cell Phones & Service",1.0,"I bought 2 charges to try and save a buck, but they are complete junk.  They worked, but never well, for about a month and then the metal charger tip totally pulled apart from the unit"
"Premium Vehicle Power Charger for Motorola RAZR V3, KRZR, SLVR, PEBL, and Q Phone: Cell Phones & Service",2.0,"I agree with most of the others, it worked okay for a couple of months... now, not only does it not charge my phone, but if I plug it into my phone, it immediately loses all charge!  It's also always falling out of the lighter plug.  I don't have that problem with any of my other chargers and I carry three chargers with me for my different gadgets"
"Premium Vehicle Power Charger for Motorola RAZR V3, KRZR, SLVR, PEBL, and Q Phone: Cell Phones & Service",1.0,"Although this charger is suggested when purchasing the Verizon Razr, the phone complains that this an ""Unauthorized Charger"" and it will not charge the phone. Do not waste your time with this"
"Premium Vehicle Power Charger for Motorola RAZR V3, KRZR, SLVR, PEBL, and Q Phone: Cell Phones & Service",1.0,"Does not work with Verizon V3C. When I plug the phone in, it says ""Unauthorized Charger"" and refuses to charge at all. It is a useless piece of junk for me considering it is supposed to be a ""charger."" I give it one star only because Amazon does not have the option for no stars. If I could, I would give it ZERO stars. I suppose that would be bad for business, but it is what it is. Avoid this cheaply made product and get the real thing. Maybe it works in China, but not in North America"
"Premium Vehicle Power Charger for Motorola RAZR V3, KRZR, SLVR, PEBL, and Q Phone: Cell Phones & Service",1.0,"A useless piece of junk.  Worked for 3 minutes then broke.  Have since bought a Motorola-brand one for three times what I paid for this piece of junk.  Do not be attracted by a cheap price tag, because you get what you pay for (or what you DONT pay for in this case). "
"Premium Vehicle Power Charger for Motorola RAZR V3, KRZR, SLVR, PEBL, and Q Phone: Cell Phones & Service",1.0,This razr car charger only worked for about 1 week then quit working.. I would not recommend this vendors products.
"Premium Vehicle Power Charger for Motorola RAZR V3, KRZR, SLVR, PEBL, and Q Phone: Cell Phones & Service",1.0,The Premium Vehicle Power Charger was not compatible.  I returned i
"Premium Vehicle Power Charger for Motorola RAZR V3, KRZR, SLVR, PEBL, and Q Phone: Cell Phones & Service",1.0,Motorola one is far better in quality as well to use
"Premium Vehicle Power Charger for Motorola RAZR V3, KRZR, SLVR, PEBL, and Q Phone: Cell Phones & Service",1.0,"The product description should state that it does not work with the Verizon V3C!  When plugged in, it states ""Unauthorized Charger"" and will not charge at all (although, if the battery is dead, it will give you enough juice to speak, but it still won't charge(?)).  "
Jabra EarGels - Clear: Cell Phones & Service,1.0,"These are not the same that come on the earbud, and are not easy to use, or to hear from.  I sent mine back"
Jabra EarGels - Clear: Cell Phones & Service,1.0,"I bought these for use on my ipod earbuds.  I had an old pair (they were green) that worked great, but I lost one.  Within minutes of putting them on the earbuds, they split open - all three pairs!  If you're planning on using these for your ipod headphones, look into the older colored ones - I believe they're a different material and less prone to cracking"
Jabra EarGels - Clear: Cell Phones & Service,2.0,The service was good but the product didn't have enough info for me to make a wise decision. At the end I couldn't use the product on my jabra ear piece. The item description should have information on compatible Ear sets to help make a better purchasing choice
Jabra EarGels - Clear: Cell Phones & Service,1.0,"Save your money.  The eargels split in two days.  I used regular ear buds on the large size.  They did hold the buds in the ear better, but no gain in sound quality.  If you want the small and med, I'll send them to you for shipping.  I have no use for them"
Jabra EarGels - Clear: Cell Phones & Service,1.0,"I have ear gels before, but none that were this cheap (and I don't mean cost!).  There was no consistency in the size (they come in different sizes, but no two were the same).  And without fail, every single one I tried to use split in half after being installed on the ear piece.  Every one!  It didn't seem to matter if they were small or larger -- or even larger than the ear piece.  The material just began tearing from both sides and ended up falling off in ever instance.I am sure there must be a better quality version of these things somewhere.  I seriously do not recommend these to anyone"
Motorola RAZR V3 Magenta Pink Phone (T-Mobile): Cell Phones & Service,1.0,"As others have mentioned, the front window blanks out almost immediately, and even worse, it doesn't show your missed calls.  You have to open the phone.  Stupid design.  It does not have any exterior lights, such as my old Samsung, that showed when it was charging, when charge completed, when a voice mail was waiting, etc.  This phone needs to be opened to get any info.  Can't even see the time without opening phone.While talking on phone it blacks out after about 1 minute.  I don't like that either.  It's also very hard to hear on it.  Especially if in car, with traffic noise.  No, I'm not driving, but I'm a passenger trying to use my phone.  Forget it.Re the color that someone mentioned.  Cingular is a light pastel pink, TMobile is magenta (dark pink).  The one thing I like is that this phone is a quad band, and if you travel interationally, it will be great.  I just got the phone, so haven't used it interational yet.  Oh, it must TMobile to get international service.  The phone has a camera, plus other tech features, but I don't use them.  I want my phone only to be a phone, no other gadgets.I would never buy this phone again, and as soon as I'm eligible for an upgrade this phone is history.  I doubt I would get a  Motorola ever again, I'll stick to Samsung."
Motorola RAZR V3 Magenta Pink Phone (T-Mobile): Cell Phones & Service,1.0,"I actually went through three of these phones.  Each one that I had would just turn off in the middle of a call...not just drop the call I mean the phone shuts off! Then I would try and start it again, no go! So I had to take the battery out of the phone put it all back together and then restart it. Half of the time it would start and say invalid battery and I would start the entire process over again. I complained so much to Tmobile that they exchanged it for a Motorola V360 which has all the same features, except BETTER reception and an MP3 player.  I wouldnt reccommend this phone to anyone....  p.s. My husband has the silver one and the same thing happend to his"
Motorola RAZR V3 Magenta Pink Phone (T-Mobile): Cell Phones & Service,2.0,"I was so excited to get my first ""cool"" phone. . .I've always had perfectly serviceable, but boring, cell phones and when I saw the pink Razr, I knew I wanted one.  I saved my pennies and gave myself an end-of-school-year present.I have only had this phone for a month, but I am horribly disappointed.  It has horrible reception (and I know it's not the network because I tested it side by side with other t-mobile phones) and drops more than half of my calls.  It also turns itself off ALL THE TIME - in the middle of conversation, while in your pocket, whenever.  I went back to t-mobile and they are sending me a new Samsung, but I'm sort of disappointed that my pretty pink phone didn't live up to expectations.  :"
Motorola RAZR V3 Magenta Pink Phone (T-Mobile): Cell Phones & Service,1.0,"T-mobile has the worst customer services. Sometimes, It is the company's mistake and they still blame it on the customer. Since I started my plan, I had a problem reciving my bill on time. So, the company start charging me $5 late fee for four consecutive months. Also, when I tried adding additional features such as their text-message-bundle, the change on the account did not take effect till two days later, and I was charged for 10 cents for each message I used in these two days,and It costed me an additional $4. Every time I tried complaining to their customer services, they just wouldn't listen. I am starting to get the feeling that they are just trying to maximize their profit. More than once, if I stay long-enough on the line, they put me on mute so they don't have to listen to my complaining. I feeling that I am being treated like dirt not like a customer. I had the worst customer-services experience with t-mobile. Also, the reception is not the best in the country. I had friends who were using the same phone as the one I have but different network, and they were getting services in places where I don't have it, and they pay about the same amount of money"
"BlackBerry 7100g, 7100i, 7100r, 7100t, 7105t, 7130e, 8700c, 8700g Travel Charger (ACC-04074-001) ASY-05309-004: Cell Phones & Service",1.0,"The product itself would have worked great if they included all the pieces. Only the plug in portion came, no USB cord.  I then requested a cord and WebTreo said they would mail one to me immediately, but none came.  I emailed their customer service again and have received no response.  FYI - it works to charge your iPod too"
Body Glove Scuba II Cellsuit for Motorola i860 - Black/Blue: Cell Phones & Service,1.0,This case does not work well. The case blocks the camera eye and the clip lasted one week
